	Id	BodyTitle	words_tokens	tags_tokens
0	9	"in c#, how do i calculate someones age based on a datetime type birthday? given a datetime representing a persons birthday, how do i calculate their age in years?
"	['calculate', 'someone', 'age', 'based', 'datetime', 'type', 'birthday', 'given', 'datetime', 'representing', 'person', 'birthday', 'calculate', 'age', 'year']	['c', '.net', 'datetime']
1	11	"calculate relative time in c# given a specific datetime value, how do i display relative time, like:

 hours ago
 days ago
a month ago

"	['calculate', 'relative', 'time', 'given', 'specific', 'datetime', 'value', 'display', 'relative', 'time', 'like', 'hour', 'ago', 'day', 'ago', 'month', 'ago']	['c', 'datetime', 'time', 'datediff', 'relative-time-span']
2	13	"determine a users timezone is there a standard way for a web server to be able to determine a users timezone within a web page? 
perhaps from an http header or part of the user agent string?
"	['determine', 'user', 'timezone', 'standard', 'way', 'web', 'server', 'able', 'determine', 'user', 'timezone', 'within', 'web', 'page', 'perhaps', 'http', 'header', 'part', 'user', 'agent', 'string']	['html', 'browser', 'timezone', 'user-agent', 'timezone-offset']
3	42	"best way to allow plugins for a php application i am starting a new web application in php and this time around i want to create something that people can extend by using a plugin interface. 
how does one go about writing hooks into their code so that plugins can attach to specific events?
"	['best', 'way', 'allow', 'plugins', 'php', 'application', 'starting', 'new', 'web', 'application', 'php', 'time', 'around', 'want', 'create', 'something', 'people', 'extend', 'using', 'plugin', 'interface', 'one', 'writing', 'hook', 'code', 'plugins', 'attach', 'specific', 'event']	['php', 'plugins', 'architecture', 'hook']
4	173	"versioning sql server database i want to get my databases under version control.  does anyone have any advice or recommended articles to get me started?
ill always want to have at least some data in there (as alumb mentions: user types and administrators).  ill also often want a large collection of generated test data for performance measurements.
"	['versioning', 'sql', 'server', 'database', 'want', 'get', 'database', 'version', 'control', 'anyone', 'advice', 'recommended', 'article', 'get', 'started', 'ill', 'always', 'want', 'least', 'data', 'alumb', 'mention', 'user', 'type', 'administrator', 'ill', 'also', 'often', 'want', 'large', 'collection', 'generated', 'test', 'data', 'performance', 'measurement']	['sql-server', 'database', 'svn', 'version-control']
5	289	"how do you sort a dictionary by value? i often have to sort a dictionary, consisting of keys & values, by value. for example, i have a hash of words and respective frequencies, that i want to order by frequency.
there is a sortedlist which is good for a single value (say frequency), that i want to map it back to the word.
sorteddictionary orders by key, not value. some resort to a custom class, but is there a cleaner way?
"	['sort', 'dictionary', 'value', 'often', 'sort', 'dictionary', 'consisting', 'key', 'value', 'value', 'example', 'hash', 'word', 'respective', 'frequency', 'want', 'order', 'frequency', 'sortedlist', 'good', 'single', 'value', 'say', 'frequency', 'want', 'map', 'back', 'word', 'sorteddictionary', 'order', 'key', 'value', 'resort', 'custom', 'class', 'cleaner', 'way']	['c', '.net', 'sorting', 'dictionary']
6	328	"php session security what are some guidelines for maintaining responsible session security with php?  theres information all over the web and its about time it all landed in one place!
"	['php', 'session', 'security', 'guideline', 'maintaining', 'responsible', 'session', 'security', 'php', 'there', 'information', 'web', 'time', 'landed', 'one', 'place']	['security', 'php']
7	371	"how do you make sure email you send programmatically is not automatically marked as spam? this is a tricky one and ive always relied on techniques, such as permission based emails (i.e. only sending to people you have permission to send to) and not using blatantly spamish terminology.
of late, some of the emails i send out programmatically have started being shuffled into peoples spam folder automatically and im wondering what i can do about it.
this is despite the fact that these particular emails are not ones that humans would mark as spam, specifically, they are emails that contain license keys that people have paid good money for, so i dont think theyre going to consider them spam
i figure this is a big topic in which i am essentially an ignorant simpleton.
"	['make', 'sure', 'email', 'send', 'programmatically', 'automatically', 'marked', 'spam', 'tricky', 'one', 'ive', 'always', 'relied', 'technique', 'permission', 'based', 'email', 'i.e', 'sending', 'people', 'permission', 'send', 'using', 'blatantly', 'spamish', 'terminology', 'late', 'email', 'send', 'programmatically', 'started', 'shuffled', 'people', 'spam', 'folder', 'automatically', 'wondering', 'despite', 'fact', 'particular', 'email', 'one', 'human', 'would', 'mark', 'spam', 'specifically', 'email', 'contain', 'license', 'key', 'people', 'paid', 'good', 'money', 'dont', 'think', 'theyre', 'going', 'consider', 'spam', 'figure', 'big', 'topic', 'essentially', 'ignorant', 'simpleton']	['email', 'email-spam']
8	549	"the definitive guide to form based website authentication form based authentication for websites
we believe that stack overflow should not just be a resource for very specific technical questions, but also for general guidelines on how to solve variations on common problems. ""form based authentication for websites"" should be a fine topic for such an experiment.
it should include topics such as:

how to log in
how to log out
how to remain logged in
managing cookies (including recommended settings)
ssl https encryption
how to store passwords
using secret questions
forgotten username password functionality
use of nonces to prevent cross site request forgeries (csrf)
openid
""remember me"" checkbox
browser autocompletion of usernames and passwords
secret urls (public url protected by digest)
checking password strength
e mail validation
and much more about form based authentication...

it should not include things like:

roles and authorization
http basic authentication

please help us by:

suggesting subtopics
submitting good articles about this subject
editing the official answer

"	['definitive', 'guide', 'form', 'based', 'website', 'authentication', 'form', 'based', 'authentication', 'website', 'believe', 'stack', 'overflow', 'resource', 'specific', 'technical', 'question', 'also', 'general', 'guideline', 'solve', 'variation', 'common', 'problem', 'form', 'based', 'authentication', 'website', 'fine', 'topic', 'experiment', 'include', 'topic', 'log', 'log', 'remain', 'logged', 'managing', 'cooky', 'including', 'recommended', 'setting', 'ssl', 'http', 'encryption', 'store', 'password', 'using', 'secret', 'question', 'forgotten', 'username', 'password', 'functionality', 'use', 'nonce', 'prevent', 'cross', 'site', 'request', 'forgery', 'csrf', 'openid', 'remember', 'checkbox', 'browser', 'autocompletion', 'usernames', 'password', 'secret', 'url', 'public', 'url', 'protected', 'digest', 'checking', 'password', 'strength', 'mail', 'validation', 'much', 'form', 'based', 'authentication', 'include', 'thing', 'like', 'role', 'authorization', 'http', 'basic', 'authentication', 'please', 'help', 'suggesting', 'subtopics', 'submitting', 'good', 'article', 'subject', 'editing', 'official', 'answer']	['security', 'http', 'authentication', 'language-agnostic', 'article']
9	626	"when to use lambda, when to use proc.new? in ruby ., there are subtle differences between proc lambda on the one hand, and proc.new on the other. 

what are those differences?
can you give guidelines on how to decide which one to choose?
in ruby ., proc and lambda are different. whats the deal?

"	['use', 'lambda', 'use', 'proc.new', 'ruby', 'subtle', 'difference', 'proc', 'lambda', 'one', 'hand', 'proc.new', 'difference', 'give', 'guideline', 'decide', 'one', 'choose', 'ruby', 'proc', 'lambda', 'different', 'whats', 'deal']	['ruby', 'lambda', 'proc']
